position,full_name,gsis_id,team,Total_touches,Total_HVT,TRAP,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,HVT_perc,rank,pos_rank,ATT,rush_yds,Y/A,LG,20+,rush_TD,REC,TGT,rec_yds,Y/R,rec_TD,FL,HVT_per_game,Touches_per_game
RB,Christian McCaffrey,00-0033280,SF,339,101,0.7020648967551623,391.3,330.17,16,2023,24.45625,20.635625,0.29793510324483774,RB1,1,272,1459,5.4,72,19,14,67,83,564,8.4,7,2,6.3125,21.1875
RB,Breece Hall,00-0038120,NYJ,299,86,0.7123745819397993,290.5,243.52,17,2023,17.08823529411765,14.324705882352944,0.2876254180602007,RB1,2,223,994,4.5,83,19,5,76,95,591,7.8,4,0,5.0588235294117645,17.58823529411765
RB,Travis Etienne,00-0036973,JAX,325,74,0.7723076923076924,282.4,263.94,17,2023,16.61176470588235,15.525882352941176,0.22769230769230764,RB1,3,267,1008,3.8,62,11,11,58,73,476,8.2,1,0,4.352941176470588,19.11764705882353
RB,Rachaad White,00-0037256,TB,336,83,0.7529761904761905,267.9,255.44,17,2023,15.758823529411764,15.025882352941176,0.2470238095238095,RB1,4,272,990,3.6,38,5,6,64,70,549,8.6,3,2,4.882352941176471,19.764705882352942
RB,Raheem Mostert,00-0031687,MIA,234,58,0.7521367521367521,267.7,214.45,15,2023,17.846666666666668,14.296666666666663,0.24786324786324787,RB1,5,209,1012,4.8,49,12,18,25,32,175,7,3,1,3.8666666666666667,15.6
RB,Joe Mixon,00-0033897,CIN,309,90,0.7087378640776699,267,283.77,17,2023,15.705882352941176,16.69235294117647,0.2912621359223301,RB1,6,257,1034,4,44,5,9,52,64,376,7.2,3,0,5.294117647058823,18.176470588235293
RB,Kyren Williams,00-0037840,LA,260,64,0.7538461538461538,254.8,238.53,12,2023,21.233333333333334,19.8775,0.24615384615384617,RB1,7,228,1144,5,56,11,12,32,48,206,6.4,3,2,5.333333333333333,21.666666666666668
RB,Derrick Henry,00-0032764,TEN,308,52,0.8311688311688312,246.66,221.34,17,2023,14.509411764705884,13.02,0.16883116883116878,RB1,8,280,1167,4.2,69,11,12,28,36,214,7.6,0,0,3.0588235294117645,18.11764705882353
RB,Bijan Robinson,00-0038542,ATL,272,70,0.7426470588235294,246.3,256.15,17,2023,14.488235294117644,15.067647058823528,0.25735294117647056,RB1,9,214,976,4.6,38,9,4,58,86,487,8.4,4,3,4.117647058823529,16
RB,Jahmyr Gibbs,00-0039139,DET,234,73,0.688034188034188,242.1,239.8,15,2023,16.14,15.986666666666668,0.31196581196581197,RB1,10,182,945,5.2,36,14,10,52,71,316,6.1,1,1,4.866666666666666,15.6
RB,Alvin Kamara,00-0033906,NO,255,97,0.6196078431372549,233,242.43,13,2023,17.923076923076923,18.64846153846154,0.3803921568627451,RB1,11,180,694,3.9,17,0,5,75,86,466,6.2,1,0,7.461538461538462,19.615384615384617
RB,James Cook,00-0037248,BUF,281,62,0.7793594306049823,232.7,226.87,17,2023,13.688235294117646,13.34529411764706,0.22064056939501775,RB1,12,237,1122,4.7,42,10,2,44,54,445,10.1,4,2,3.6470588235294117,16.529411764705884
RB,Saquon Barkley,00-0034844,NYG,288,56,0.8055555555555556,223.2,223.55,14,2023,15.942857142857145,15.967857142857143,0.1944444444444444,RB2,13,247,962,3.9,36,12,6,41,60,280,6.8,4,2,4,20.571428571428573
RB,Tony Pollard,00-0035261,DAL,307,85,0.7231270358306189,222.6,280.69,17,2023,13.094117647058823,16.511176470588236,0.2768729641693811,RB2,14,252,1005,4,31,7,6,55,67,311,5.7,0,1,5,18.058823529411764
RB,Isiah Pacheco,00-0037197,KC,249,64,0.7429718875502008,213.9,216.73,14,2023,15.278571428571428,15.480714285714283,0.2570281124497992,RB2,15,205,935,4.6,48,11,7,44,49,244,5.5,2,1,4.571428571428571,17.785714285714285
RB,Jerome Ford,00-0037267,CLE,248,54,0.782258064516129,211.2,202.12,17,2023,12.423529411764706,11.889411764705883,0.217741935483871,RB2,16,204,813,4,69,11,4,44,63,319,7.3,5,1,3.176470588235294,14.588235294117647
RB,David Montgomery,00-0035685,DET,235,47,0.8,205.2,191.74,14,2023,14.657142857142857,13.695714285714288,0.19999999999999996,RB2,17,219,1015,4.6,75,9,13,16,24,117,7.3,0,1,3.357142857142857,16.785714285714285
RB,James Conner,00-0033553,ARI,235,45,0.8085106382978723,201.5,173.84,13,2023,15.5,13.372307692307691,0.19148936170212771,RB2,18,208,1040,5,44,14,7,27,33,165,6.1,2,0,3.4615384615384617,18.076923076923077
RB,Kenneth Walker,00-0038134,SEA,248,48,0.8064516129032258,199.4,194.51,15,2023,13.293333333333331,12.967333333333332,0.19354838709677424,RB2,19,219,905,4.1,45,11,8,29,37,259,8.9,1,0,3.2,16.533333333333335
RB,D'Andre Swift,00-0036275,PHI,268,66,0.753731343283582,199.3,216.62,16,2023,12.45625,13.53875,0.24626865671641796,RB2,20,229,1049,4.6,43,10,5,39,49,214,5.5,1,1,4.125,16.75
RB,Brian Robinson,00-0037746,WAS,214,49,0.7710280373831776,198.1,166.93,15,2023,13.206666666666669,11.128666666666668,0.2289719626168224,RB2,21,178,733,4.1,29,4,5,36,43,368,10.2,4,2,3.2666666666666666,14.266666666666667
RB,Jaylen Warren,00-0037228,PIT,210,69,0.6714285714285714,196.4,189.43,17,2023,11.552941176470588,11.142941176470588,0.3285714285714286,RB2,22,149,784,5.3,74,9,4,61,74,370,6.1,0,2,4.0588235294117645,12.352941176470589
RB,Najee Harris,00-0036893,PIT,284,52,0.8169014084507042,195.5,198.23,17,2023,11.5,11.660588235294115,0.18309859154929575,RB2,23,255,1035,4.1,25,8,8,29,38,170,5.9,0,1,3.0588235294117645,16.705882352941178
RB,De'Von Achane,00-0039040,MIA,130,38,0.7076923076923077,190.7,130.26,11,2023,17.336363636363636,11.841818181818182,0.29230769230769227,RB2,24,103,800,7.8,76,21,8,27,37,197,7.3,3,1,3.4545454545454546,11.818181818181818
RB,Gus Edwards,00-0034184,BAL,210,42,0.8,187,165.48,17,2023,11,9.734117647058824,0.19999999999999996,RB3,25,198,810,4.1,42,8,13,12,13,180,15,0,2,2.4705882352941178,12.352941176470589
RB,Austin Ekeler,00-0033699,LAC,230,75,0.6739130434782609,184.2,232.86,14,2023,13.157142857142857,16.632857142857144,0.32608695652173914,RB3,26,179,628,3.5,55,7,5,51,74,436,8.5,1,4,5.357142857142857,16.428571428571427
RB,Chuba Hubbard,00-0036555,CAR,277,56,0.7978339350180506,182.5,188.85,17,2023,10.735294117647058,11.108823529411763,0.20216606498194944,RB3,27,238,902,3.8,22,4,5,39,44,233,6,0,0,3.2941176470588234,16.294117647058822
RB,Josh Jacobs,00-0035700,LV,270,59,0.7814814814814814,181.1,219.34,13,2023,13.930769230769233,16.872307692307693,0.21851851851851856,RB3,28,233,805,3.5,63,8,6,37,54,296,8,0,1,4.538461538461538,20.76923076923077
RB,Javonte Williams,00-0036997,DEN,264,64,0.7575757575757576,179.20000000000002,215.36,16,2023,11.2,13.46,0.24242424242424243,RB3,29,217,774,3.6,21,2,3,47,58,228,4.9,2,1,4,16.5
RB,Ezekiel Elliott,00-0033045,NE,235,62,0.7361702127659574,174.5,185.6,17,2023,10.264705882352942,10.91764705882353,0.2638297872340426,RB3,30,184,642,3.5,17,0,3,51,65,313,6.1,2,1,3.6470588235294117,13.823529411764707
RB,Zack Moss,00-0036251,IND,210,48,0.7714285714285715,169.6,165.35,14,2023,12.114285714285714,11.810714285714283,0.22857142857142856,RB3,31,183,794,4.3,56,11,5,27,37,192,7.1,2,0,3.4285714285714284,15
RB,Devin Singletary,00-0035250,HOU,246,47,0.8089430894308943,167.34,179.93,17,2023,9.843529411764706,10.584117647058823,0.19105691056910568,RB3,32,216,898,4.2,24,3,4,30,38,193,6.4,0,0,2.764705882352941,14.470588235294118
RB,Jonathan Taylor,00-0036223,IND,188,33,0.824468085106383,156.4,148.35,10,2023,15.64,14.835,0.17553191489361697,RB3,33,169,741,4.4,49,8,7,19,23,153,8.1,1,0,3.3,18.8
RB,Tyjae Spears,00-0039032,TEN,152,57,0.625,153.8,151.02,17,2023,9.047058823529412,8.883529411764707,0.375,RB3,34,100,453,4.5,23,3,2,52,70,385,7.4,1,0,3.3529411764705883,8.941176470588236
RB,Rhamondre Stevenson,00-0036875,NE,194,46,0.7628865979381443,145.7,153.19,12,2023,12.141666666666666,12.765833333333331,0.23711340206185572,RB3,35,156,619,4,64,4,4,38,51,238,6.3,0,1,3.8333333333333335,16.166666666666668
RB,Tyler Allgeier,00-0037263,ATL,204,28,0.8627450980392157,137.6,142.01,17,2023,8.094117647058823,8.353529411764706,0.13725490196078427,RB3,36,186,683,3.7,31,3,4,18,23,193,10.7,1,0,1.6470588235294117,12
RB,Aaron Jones,00-0033293,GB,172,40,0.7674418604651163,134.9,154.17,11,2023,12.263636363636364,14.015454545454544,0.2325581395348837,Other,37,142,656,4.6,39,4,2,30,43,233,7.8,1,1,3.6363636363636362,15.636363636363637
RB,Alexander Mattison,00-0034972,MIN,210,42,0.8,133.2,182.52,16,2023,8.325,11.4075,0.19999999999999996,Other,38,180,700,3.9,21,1,0,30,44,192,6.4,3,2,2.625,13.125
RB,Antonio Gibson,00-0036328,WAS,113,49,0.5663716814159292,127.4,121.53,16,2023,7.9625,7.595625,0.4336283185840708,Other,39,65,265,4.1,16,0,1,48,59,389,8.1,2,2,3.0625,7.0625
RB,Samaje Perine,00-0033526,DEN,103,57,0.4466019417475728,121.3,110.47,17,2023,7.135294117647058,6.498235294117647,0.5533980582524272,Other,40,53,238,4.5,24,1,1,50,56,455,9.1,0,2,3.3529411764705883,6.0588235294117645
RB,Kareem Hunt,00-0033923,CLE,150,30,0.8,118.5,120.44,15,2023,7.9,8.029333333333334,0.19999999999999996,Other,41,135,411,3,16,0,9,15,21,84,5.6,0,0,2,10
RB,AJ Dillon,00-0036265,GB,200,40,0.8,117.6,146.34,15,2023,7.84,9.756,0.19999999999999996,Other,42,178,613,3.4,40,3,2,22,28,223,10.1,0,0,2.6666666666666665,13.333333333333334
RB,Khalil Herbert,00-0036906,CHI,152,25,0.8355263157894737,112.5,122.82,12,2023,9.375,10.235,0.16447368421052633,Other,43,132,611,4.6,38,8,2,20,31,134,6.7,1,1,2.0833333333333335,12.666666666666666
RB,Justice Hill,00-0034975,BAL,112,39,0.6517857142857143,109.3,115.88,16,2023,6.83125,7.242500000000001,0.3482142857142857,Other,44,84,387,4.6,41,4,3,28,39,206,7.4,1,1,2.4375,7
RB,Zach Charbonnet,00-0039165,SEA,141,46,0.6737588652482269,106.1,122.54,16,2023,6.63125,7.65875,0.3262411347517731,Other,45,108,462,4.3,23,4,1,33,40,209,6.3,0,0,2.875,8.8125
RB,Jaleel McLaughlin,00-0038794,DEN,107,35,0.6728971962616822,106,94.96,17,2023,6.235294117647059,5.5858823529411765,0.3271028037383178,Other,46,76,410,5.4,38,6,1,31,36,160,5.2,2,0,2.0588235294117645,6.294117647058823
RB,Roschon Johnson,00-0039021,CHI,115,41,0.6434782608695652,102.1,107.97,15,2023,6.806666666666667,7.1979999999999995,0.35652173913043483,Other,47,81,352,4.3,29,2,2,34,40,209,6.1,0,0,2.7333333333333334,7.666666666666667
RB,Ty Chandler,00-0037276,MIN,123,26,0.7886178861788617,101,94.42,13,2023,7.769230769230769,7.263076923076923,0.21138211382113825,Other,48,102,461,4.5,31,5,3,21,25,159,7.6,0,0,2,9.461538461538462
RB,Kenneth Gainwell,00-0036919,PHI,114,40,0.6491228070175439,97.38,112.45,16,2023,6.08625,7.028125,0.3508771929824561,Other,49,84,364,4.3,32,4,2,30,37,183,6.1,0,1,2.5,7.125
RB,Rico Dowdle,00-0036139,DAL,106,23,0.78301886792452835,91.5,93.84,16,2023,5.71875,5.865,0.21698113207547165,Other,50,89,361,4.1,21,2,2,17,22,144,8.5,2,0,1.4375,6.625
RB,D'Onta Foreman,00-0033925,CHI,120,21,0.825,91.2,90.46,9,2023,10.133333333333333,10.05111111111111,0.17500000000000004,Other,51,109,425,3.9,22,1,4,11,16,77,7,1,0,2.3333333333333335,13.333333333333334
RB,Miles Sanders,00-0035243,CAR,156,34,0.782051282051282,87.60000000000001,125.18,16,2023,5.4750000000000005,7.82375,0.21794871794871795,Other,52,129,432,3.3,48,3,1,27,41,154,5.7,0,2,2.125,9.75
RB,Jerick McKinnon,00-0031376,KC,46,26,0.43478260869565216,84.36,66.51,12,2023,7.03,5.5425,0.5652173913043479,Other,53,21,60,2.9,10,0,1,25,32,192,7.7,4,0,2.1666666666666665,3.8333333333333335
RB,Latavius Murray,00-0030513,BUF,96,34,0.6458333333333334,82.9,101.06,15,2023,5.526666666666667,6.737333333333334,0.35416666666666663,Other,54,79,300,3.8,29,2,4,17,22,119,7,0,0,2.2666666666666666,6.4
RB,Dameon Pierce,00-0037258,HOU,158,27,0.8291139240506329,76.7,114.9,13,2023,5.9,8.838461538461539,0.1708860759493671,Other,55,145,416,2.9,22,1,2,13,17,101,7.8,0,0,2.076923076923077,12.153846153846153
RB,Zamir White,00-0038040,LV,119,22,0.8151260504201681,73.9,86.62,13,2023,5.684615384615385,6.663076923076924,0.18487394957983191,Other,56,104,451,4.3,43,4,1,15,19,98,6.5,0,1,1.6923076923076923,9.153846153846153
RB,Emari Demercado,00-0038705,ARI,79,22,0.7215189873417721,73.3,74.33,11,2023,6.663636363636363,6.757272727272727,0.2784810126582279,Other,57,58,284,4.9,49,3,2,21,30,119,5.7,0,0,2,7.181818181818182
RB,Clyde Edwards-Helaire,00-0036360,KC,87,22,0.7471264367816092,70.1,80.49,15,2023,4.673333333333333,5.366,0.25287356321839083,Other,58,70,223,3.2,20,1,1,17,22,188,11.1,1,0,1.4666666666666666,5.8
RB,Keaton Mitchell,00-0038454,BAL,56,9,0.8392857142857143,69.9,41.64,7,2023,9.985714285714286,5.948571428571428,0.1607142857142857,Other,59,47,396,8.4,60,13,2,9,11,93,10.3,0,0,1.2857142857142858,8
RB,Joshua Kelley,00-0036370,LAC,115,15,0.8695652173913043,61.7,78.87,17,2023,3.6294117647058823,4.639411764705883,0.13043478260869568,Other,60,107,405,3.8,49,4,2,8,12,32,4,0,1,0.8823529411764706,6.764705882352941
RB,Jamaal Williams,00-0033948,NO,124,25,0.7983870967741935,60.8,84.02,13,2023,4.676923076923076,6.4630769230769225,0.2016129032258065,Other,61,106,306,2.9,17,0,1,18,20,62,3.4,0,0,1.9230769230769231,9.538461538461538
RB,Michael Carter,00-0036924,ARI,54,25,0.5370370370370371,58.8,61.91,15,2023,3.92,4.1273333333333335,0.4629629629629629,Other,62,30,187,6.2,21,1,0,24,31,101,4.2,1,0,1.6666666666666667,3.6
RB,Chase Brown,00-0038597,CIN,58,15,0.7413793103448276,53.5,44.16,10,2023,5.35,4.4159999999999995,0.2586206896551724,Other,63,44,179,4.1,31,3,0,14,15,156,11.1,1,0,1.5,5.8
RB,Elijah Mitchell,00-0036567,SF,81,18,0.7777777777777778,47.5,66.58,11,2023,4.318181818181818,6.052727272727273,0.2222222222222222,Other,64,75,281,3.7,18,0,2,6,8,14,2.3,0,0,1.6363636363636365,7.363636363636363
